cig;cig_accordo_quadro;numero_gara;oggetto_gara;importo_complessivo_gara;n_lotti_componenti;oggetto_lotto;importo_lotto;oggetto_principale_contratto;stato;settore;luogo_istat;provincia;data_pubblicazione;data_scadenza_offerta;cod_tipo_scelta_contraente;tipo_scelta_contraente;cod_modalita_realizzazione;modalita_realizzazione;codice_ausa;cf_amministrazione_appaltante;denominazione_amministrazione_appaltante;sezione_regionale;id_centro_costo;denominazione_centro_costo;anno_pubblicazione;mese_pubblicazione;cod_cpv;descrizione_cpv;flag_prevalente;COD_MOTIVO_CANCELLAZIONE;MOTIVO_CANCELLAZIONE;DATA_CANCELLAZIONE;DATA_ULTIMO_PERFEZIONAMENTO;COD_MODALITA_INDIZIONE_SPECIALI;MODALITA_INDIZIONE_SPECIALI;COD_MODALITA_INDIZIONE_SERVIZI;MODALITA_INDIZIONE_SERVIZI;DURATA_PREVISTA;COD_STRUMENTO_SVOLGIMENTO;STRUMENTO_SVOLGIMENTO;FLAG_URGENZA;COD_MOTIVO_URGENZA;MOTIVO_URGENZA;FLAG_DELEGA;FUNZIONI_DELEGATE;CF_SA_DELEGANTE;DENOMINAZIONE_SA_DELEGANTE;CF_SA_DELEGATA;DENOMINAZIONE_SA_DELEGATA;IMPORTO_SICUREZZA;TIPO_APPALTO_RISERVATO;CUI_PROGRAMMA;FLAG_PREV_RIPETIZIONI;COD_IPOTESI_COLLEGAMENTO;IPOTESI_COLLEGAMENTO;CIG_COLLEGAMENTO;COD_ESITO;ESITO;DATA_COMUNICAZIONE_ESITO;FLAG_PNRR_PNC
B401D0A987;;PTE di servizi_Dismissione fonte CIA dal Sistema GMS;PTE DI SERVIZI_DISMISSIONE FONTE CIA DAL SISTEMA GMS;11528.23;1;PTE DI SERVIZI_DISMISSIONE FONTE CIA DAL SISTEMA GMS;11528.23;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-08;2024-10-25;25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;999;ND;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;0AD127C2-E827-4EC4-BAFB-ED4F78658624;06 - AREA 2;2025;1;72500000-0;SERVIZI INFORMATICI;1;;;;2024-10-25;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2024-10-25;0
B44F1B5165;;G00708-69100c64-6f2d-486e-a54b-62760454ff34;PROCEDURA APERTA N. 48/2024 - SERVIZI DI MANUTENZIONE ORDINARIA DELLE AREE VERDI DELLA CITTÃÃÃÂ  DI TORINO - 8 LOTTI;26900820.79;8;VIALI - CENTRO SUD;3037910.81;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-22;2025-02-06;1;PROCEDURA APERTA;1;CONTRATTO D'APPALTO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;AD330770-9F16-40D8-BDEB-09E98DDC65A0;07 - AREA 3;2025;1;77313000-7;SERVIZI DI MANUTENZIONE PARCHI;1;;;;2025-01-22;;;;;971.0;;;1;7.0;NON APPLICABILE;0;;;;;;;LA PARTECIPAZIONE NON È RISERVATA.;S00514490010202400819;;10.0;NO, NESSUNA IPOTESI DI COLLEGAMENTO;;1.0;AGGIUDICATA;2025-09-03;0
B560527FA9;2528460731;PCP-20250128-03947;MANUTENZIONE STRAORDINARIA ATTRAVERSAMENTI PEDONALI VALLETTE – BILANCIO 2023 LOTTO UNICO – C.O. 5134/2023 - CUP C17H2300015000 AFFIDAMENTO IREN SMART SOLUTIONS PER ADEGUAMENTO ALLA NUOVA VIABILITA' IMPIANTO SEMAFORICO DI VIALE DEI MUGHETTI 27;76980.0;1;AFFIDAMENTO IREN SMART SOLUTIONS PER ADEGUAMENTO ALLA NUOVA VIABILITA' IMPIANTO SEMAFORICO DI VIALE DEI MUGHETTI 27;76980.0;LAVORI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-28;2025-01-28;24;AFFIDAMENTO DIRETTO;11;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;29F5FE33-63E0-4DEE-AC9A-9FFB6A05B57D;12 - DIVISIONE INFRASTRUTTURE E MOBILITÀ;2025;1;50232000-0;MANUTENZIONE DI IMPIANTI DI ILLUMINAZIONE PUBBLICA E SEMAFORI;1;;;;2025-01-28;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-01-28;0
B542DFDE8A;B1614D5EF6;CONSIP_ORDINE_8328801;F;119965.6;1;NOLEGGIO DI N. 4 VEICOLI MOD. CITROEN E-C3 PER UN PERIODO DI 60 MESI ED UNA PERCORRENZA CHILOMETRICA LIMITE DI 50.000 KM;119965.6;FORNITURE;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-20;2025-01-20;24;AFFIDAMENTO DIRETTO;11;CONTRATTO D'APPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;0AD127C2-E827-4EC4-BAFB-ED4F78658624;06 - AREA 2;2025;1;34110000-1;AUTOVETTURE PER TRASPORTO PASSEGGERI;1;;;;2025-01-20;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-01-20;0
B4CEA07B22;;G00730-45fd95dc-f863-4148-8ef5-ee237cc0dab4;AFFIDAMENTO DIRETTO A SOCIETÀ IN HOUSE G00730 - PROGETTAZIONE DEL MASTERPLAN PER LA RIGENERAZIONE URBANA QUARTIERI BARRIERA DI MILANO E AURORA NELL'AMBITO DEL PROGETTO PN METRO PLUS E CITTA' MEDIE SUD 2021-2027 - TO7.5.1.2.A1 SOSTENIBILITA' BELLEZZA INCLUSIONE NELLE STRADE E NEGLI SPAZI PUBBLICI- CUP C11B24000220006;194986.0;1;AFFIDAMENTO DIRETTO A SOCIETÀ IN HOUSE G00730 - PROGETTAZIONE DEL MASTERPLAN PER LA RIGENERAZIONE URBANA QUARTIERI BARRIERA DI MILANO E AURORA NELL'AMBITO DEL PROGETTO PN METRO PLUS E CITTA' MEDIE SUD 2021-2027 - TO7.5.1.2.A1 SOSTENIBILITA' BELLEZZA INCLUSIONE NELLE STRADE E NEGLI SPAZI PUBBLICI- CUP C11B24000220006;194986.0;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-13;2024-12-13;25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;999;ND;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;AD330770-9F16-40D8-BDEB-09E98DDC65A0;07 - AREA 3;2025;1;71240000-2;SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE;1;;;;2024-12-13;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2024-12-13;0
B556DB125C;;CONSIP_RDO_5024241;SERVIZIO DI NOLEGGIO DI BAGNI CHIMICI IN OCCASIONE DI MANIFESTAZIONI DI SPETTACOLO VIAGGIANTE 2025;5020.0;1;NOLEGGIO BAGNI CHIMICI PER MANIFESTAZIONI DI SPETTACOLO VIAGGIANTE 2025;5020.0;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-27;2025-01-24;24;AFFIDAMENTO DIRETTO;1;CONTRATTO D'APPALTO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;0AD127C2-E827-4EC4-BAFB-ED4F78658624;06 - AREA 2;2025;1;24955000-3;GABINETTI CHIMICI;1;;;;2025-01-24;;;;;;;;1;7.0;non applicabile;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-01-24;0
B54DB3F8A0;;CONSIP_RDO_5002248;STADIO OLIMPICO 2025 DEC SERVIZIO CONTROLLI STRUTTURALI;23600.0;1;DIRETTORE DELL'ESECUZIONE SERVIZIO CONTROLLI STRUTTURALI STADIO OLIMPICO 2025;23600.0;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-23;2025-01-22;24;AFFIDAMENTO DIRETTO;1;CONTRATTO D'APPALTO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;AD330770-9F16-40D8-BDEB-09E98DDC65A0;07 - AREA 3;2025;1;71220000-6;SERVIZI DI PROGETTAZIONE ARCHITETTONICA;1;;;;2025-01-22;;;;;;;;1;7.0;non applicabile;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2025-01-22;0
B44F1B83DE;;G00708-69100c64-6f2d-486e-a54b-62760454ff34;PROCEDURA APERTA N. 48/2024 - SERVIZI DI MANUTENZIONE ORDINARIA DELLE AREE VERDI DELLA CITTÃÃÃÂ  DI TORINO - 8 LOTTI;26900820.79;8;TERRITORIALE - CIRCOSCRIZIONI 3 E 4;4308859.3;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-22;2025-02-06;1;PROCEDURA APERTA;1;CONTRATTO D'APPALTO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;AD330770-9F16-40D8-BDEB-09E98DDC65A0;07 - AREA 3;2025;1;77313000-7;SERVIZI DI MANUTENZIONE PARCHI;1;;;;2025-01-22;;;;;971.0;;;1;7.0;NON APPLICABILE;0;;;;;;;LA PARTECIPAZIONE NON È RISERVATA.;S00514490010202400091;;10.0;NO, NESSUNA IPOTESI DI COLLEGAMENTO;;1.0;AGGIUDICATA;2025-09-03;0
B49C012555;;PTE di servizi_estensione funzionale sistema documentale Doqui ;PTE DI SERVIZI_ESTENSIONE FUNZIONALE SISTEMA DOCUMENTALE DOQUI ;58113.04;1;PTE DI SERVIZI_ESTENSIONE FUNZIONALE SISTEMA DOCUMENTALE DOQUI ;58113.04;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-08;2024-12-04;25;AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE;999;ND;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;0AD127C2-E827-4EC4-BAFB-ED4F78658624;06 - AREA 2;2025;1;72500000-0;SERVIZI INFORMATICI;1;;;;2024-12-04;;;;;;;;0;;;0;;00514490010;COMUNE DI TORINO;;;;;;;;;;1.0;AGGIUDICATA;2024-12-04;0
B44F1B730B;;G00708-69100c64-6f2d-486e-a54b-62760454ff34;PROCEDURA APERTA N. 48/2024 - SERVIZI DI MANUTENZIONE ORDINARIA DELLE AREE VERDI DELLA CITTÃÃÃÂ  DI TORINO - 8 LOTTI;26900820.79;8;TERRITORIALE - CIRCOSCRIZIONI 1 E 2;4410638.7;SERVIZI;ATTIVO;SETTORI ORDINARI;001272;TORINO;2025-01-22;2025-02-06;1;PROCEDURA APERTA;1;CONTRATTO D'APPALTO;0000168808;00514490010;COMUNE DI TORINO;SEZIONE REGIONALE PIEMONTE;AD330770-9F16-40D8-BDEB-09E98DDC65A0;07 - AREA 3;2025;1;77313000-7;SERVIZI DI MANUTENZIONE PARCHI;1;;;;2025-01-22;;;;;971.0;;;1;7.0;NON APPLICABILE;0;;;;;;;LA PARTECIPAZIONE NON È RISERVATA.;S00514490010202400090;;10.0;NO, NESSUNA IPOTESI DI COLLEGAMENTO;;1.0;AGGIUDICATA;2025-09-03;0
