cig;dd_numeri;capitoli;missioni;denominazioni_capitoli
B401D0A987;;;;
B44F1B5165;DD 2199/2025;;;
B560527FA9;DD 712/2025;140380103001;10;MANUTENZIONE STRAORDINARIA SUOLO - ATTRAVERSAMENTI PEDONALI VALLETTE - Settore 033
B542DFDE8A;DD 1776/2025;020100006001;01;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055
B4CEA07B22;DD 1395/2025|DD 2338/2025;;;
B54DB3F8A0;DD 883/2025;136100002004;06;IMPIANTI SPORTIVI - MANUTENZIONE STRAORDINARIA - S.R.E. IVA - settore 062 - R.IVA
B44F1B83DE;DD 2199/2025|DD 7001/2025;078400001007;09;APP. AVANZO TRASFERIMENTI 1624 - VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONI - settore 046
B49C012555;;;;
B44F1B730B;DD 2199/2025|DD 3138/2025|DD 7001/2025;078400001007;09;APP. AVANZO TRASFERIMENTI 1624 - VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONI - settore 046
B527410E3C;DD 1776/2025;020100006001;01;GESTIONE PARCO VEICOLI - UTILIZZO BENI DI TERZI - NOLEGGIO AUTOMOTOVEICOLI - settore 055
B4C4402A33;;;;
B54A15D46E;DD 1250/2025|DD 4336/2025;140380004001;10;PONTI - VIE D'ACQUA - INFRASTRUTTURE - PNRR - C16E19000190001- PIANO COMPLEMENTARE - PROGETTO PARCO DEL VALENTINO - RIPRISTINO NAVIGABILITA' FIUME PO - VEDASI CAP. 32390002 ENTRATA - Sett. 34
B2F18B8686;;;;
B44F1B6238;DD 2199/2025;;;
B44F1BA584;DD 2199/2025|DD 3144/2025|DD 3143/2025|DD 3141/2025|DD 3138/2025|DD 4523/2025|DD 4986/2025|DD 7134/2025|DD 7001/2025;078400001001|078400001007|078400009001|078400014001;09;APP. AVANZO TRASFERIMENTI 1624 - VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONI - settore 046 || VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONE DEGLI IMPIANTI IRRIGUI - settore 046 || VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONI - settore 046 || VERDE PUBBLICO - ACQUISTO DI SERVIZI - MANUTENZIONI URGENTI A SALVAGUARDIA DI ALBERATE ED AREE VERDI - settore 046
B44F1B94B1;DD 2199/2025|DD 7001/2025;078400001007;09;APP. AVANZO TRASFERIMENTI 1624 - VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONI - settore 046
B479387F3B;;;;
B522FB559D;DD 1888/2025;108500002005;01;APP. AVANZO MUTUI - ORGANI ISTITUZIONALI PARTECIPAZIONE E DECENTRAMENTO - MANUTENZIONE STRAORDINARIA - settore 030
B44F1BB657;DD 2199/2025|DD 3156/2025|DD 3139/2025|DD 4523/2025|DD 4986/2025|DD 7134/2025;078400001001|078400009001|078400014001;09;VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONE DEGLI IMPIANTI IRRIGUI - settore 046 || VERDE PUBBLICO - ACQUISTO DI SERVIZI - LAVORI E MANUTENZIONI - settore 046 || VERDE PUBBLICO - ACQUISTO DI SERVIZI - MANUTENZIONI URGENTI A SALVAGUARDIA DI ALBERATE ED AREE VERDI - settore 046
B52D0FAB11;DD 447/2025|DD 1886/2025;088810003002;12;LEGGE 285/97 - PROGETTI LEGGE 285/97 - PRESTAZIONI DI SERVIZI - SERVIZI DIVERSI - settore 007
B5485FCC69;DD 689/2025|DD 1243/2025;;;
B53F7ABAF3;DD 514/2025;;;
B2F94DFAAE;;;;
B5BCFF8853;DD 1574/2025;078300001001;09;VERDE PUBBLICO - ACQUISTO DI MATERIALI - MATERIALI VARI - settore 046
B492769AAA;;;;
B5A2AB664B;DD 934/2025;047050004001;12;DIREZIONE ISTRUZIONE - PRESTAZIONI DI SERVIZI - INTERVENTI DI ASSISTENZA SPECIALISTICA A FAVORE DI ALUNNI CON DISABILITA' - settore 007
B5988F7C26;DD 1630/2025|DD 4045/2025;;;
B5D6E30B4C;DD 2068/2025|DD 3744/2025;;;
B5730BA716;DD 890/2025;;;
