idUd;anno;dd_numero;importo_oggetto;classe;ha_tabella_hdr
2571531;2023;DD 732/2023;;senza_impegno;0
2570634;2023;DD 618/2023;;senza_impegno;0
2571449;2023;DD 728/2023;178000.0;impegno_perso;0
2571455;2023;DD 727/2023;;senza_impegno;0
2571464;2023;DD 725/2023;53800.0;impegno_perso;0
2571033;2023;DD 714/2023;10500.0;senza_impegno;0
2571332;2023;DD 713/2023;29434.53;senza_impegno;0
2568603;2023;DD 712/2023;13813.68;senza_impegno;0
2571350;2023;DD 710/2023;29434.53;senza_impegno;0
2571141;2023;DD 703/2023;19488.0;senza_impegno;0
2571143;2023;DD 696/2023;;senza_impegno;0
2571282;2023;DD 694/2023;;senza_impegno;0
2570107;2023;DD 692/2023;29434.53;senza_impegno;0
2567461;2023;DD 688/2023;1295016.8;impegno_perso;1
2570760;2023;DD 687/2023;;senza_impegno;0
2566299;2023;DD 686/2023;;senza_impegno;0
2569168;2023;DD 684/2023;27107.22;impegno_perso;0
2570804;2023;DD 683/2023;18000.0;senza_impegno;0
2571153;2023;DD 681/2023;4700.0;impegno_perso;0
2565824;2023;DD 666/2023;6151.02;impegno_perso;0
2570925;2023;DD 655/2023;19488.0;senza_impegno;0
2570756;2023;DD 656/2023;61800.0;senza_impegno;0
2567352;2023;DD 650/2023;;impegno_perso;0
2570670;2023;DD 644/2023;;senza_impegno;0
2569180;2023;DD 639/2023;36751.16;senza_impegno;0
2567563;2023;DD 628/2023;16008726.67;impegno_perso;1
2570664;2023;DD 620/2023;;impegno_perso;0
2570379;2023;DD 608/2023;15750.0;senza_impegno;0
2568686;2023;DD 605/2023;20241.02;impegno_perso;0
2570239;2023;DD 599/2023;;senza_impegno;0
2570202;2023;DD 586/2023;140000.0;senza_impegno;0
2569826;2023;DD 577/2023;30000.0;senza_impegno;0
2568691;2023;DD 572/2023;3288748.94;impegno_perso;0
2569924;2023;DD 567/2023;300.3;impegno_perso;0
2566976;2023;DD 286/2023;303.71;senza_impegno;0
2569958;2023;DD 553/2023;2500.0;senza_impegno;0
2567783;2023;DD 545/2023;84764.04;impegno_perso;0
2567151;2023;DD 541/2023;46299.0;impegno_perso;0
2569942;2023;DD 540/2023;13888.0;impegno_perso;0
2569871;2023;DD 539/2023;;senza_impegno;0
2569492;2023;DD 538/2023;249400.0;senza_impegno;0
2569966;2023;DD 530/2023;10500.0;senza_impegno;0
