anno;dd_numero;data_atto;idUd;idPubblicazione;cig;n_cig;importo_oggetto;oggetto
2023;DD 747/2023;Feb 15, 2023, 12:00:00 AM;2569447;F4BE2DDF26140553E05329858A0A42B0;Z7D39BD62A;1;531.92;CORPO DI POLIZIA LOCALE. AFFIDAMENTO MEDIANTE ORDINE DIRETTO PER IL SERVIZIO DI TARATURA PERIODICA DI FONOMETRI E CALIBRATORI. IMPEGNO DI SPESA (EURO 531,92) (CIG Z7D39BD62A)
2023;DD 737/2023;Feb 15, 2023, 12:00:00 AM;2569935;F4BC0F2BE8712844E05329858A0A2088;938171327C;1;68500.0;AFFIDAMENTO DEL SERVIZIO DI PROGETTAZIONE PARTECIPATA E CO-DESIGN PER L'INNOVAZIONE DEGLI SPAZI E DEI SERVIZI DELLE BIBLIOTECHE TERRITORIALI DEL SISTEMA BIBLIOTECARIO URBANO DI TORINO. PRESA D'ATTO DI INTERVENUTA EFFICACIA DELL'AGGIUDICAZIONE A POA SUSTAINABLE DEVELOPMENT PER IMPORTO TOTALE DI EURO 68.500,00 IVA 22% INCLUSA. CIG 938171327C. SPESA FINANZIATA. - CUI S00514490010202200476.
2023;DD 735/2023;Feb 15, 2023, 12:00:00 AM;2567049;F4BBA2B06DB41619E05329858A0A9449;ZD239CF3D7;1;5490.0;ACQUISTO SPAZI  PER PROSSIME INIZIATIVE ISTITUZIONALI CITTA' DI TORINO 2023. INDIZIONE, AFFIDAMENTO E IMPEGNO DELLA SPESA PER EURO 5.490,00  IVA COMPRESA. CIG ZD239CF3D7
2023;DD 732/2023;Feb 15, 2023, 12:00:00 AM;2571531;F4BACBD174A16FFBE05329858A0AF248;95607536F6;1;;PROCEDURA APERTA N. 6/2023   PER  SERVIZIO CENTRO LAVORO TORINO - CIG 95607536F6 - SOSTITUZIONE COMPONENTE COMMISSIONE GIUDICATRICE DI GARA
2023;DD 731/2023;Feb 15, 2023, 12:00:00 AM;2568655;F4BACBD174A06FFBE05329858A0AF248;Z213994108;1;19751.8;CORPO DI POLIZIA LOCALE. AFFIDAMENTO DIRETTO SUL MEPA PER LA FORNITURA DI BLOCCHETTI VERBALI. IMPEGNO DI SPESA (EURO 19.751,80) (CIG Z213994108)
2023;DD 618/2023;Feb 9, 2023, 12:00:00 AM;2570634;F4B1ECA6B81675ECE05329858A0AAD61;9646710CEA;1;;CONCESSIONE DEL SERVIZIO DI BAR RISTORO PRESSO LO STADIO DEL GHIACCIO COMUNALE DI VIA SANREMO 67. SECONDO ESPERIMENTO DI GARA. INDIZIONE. CIG 9646710CEA.
2023;DD 728/2023;Feb 14, 2023, 12:00:00 AM;2571449;F4AD4A7D60C834B8E05329858A0AEC3B;9094023130;1;178000.0;S031 -  ''PON METRO REACT-EU TORINO PROGETTO TO 6.1.3.L - MANUTENZIONE STRAORDINARIA FINALIZZATA ALLA RIDUZIONE DEI CONSUMI ENERGETICI EDIFICIO SCOLASTICO VIA VALLAURI 24'' (CIG 9094023130). AUTORIZZAZIONE AL SUBAPPALTO DEI LAVORI IMPIANTI ELETTRICI (CAT. OS30) ALLA DITTA S.I.E.C.I. S.R.L. EX ART. 105, COMMA 13 D.LGS. 50/2016 E S.M.I. - IMPORTO DI EURO 178.000,00.
2023;DD 727/2023;Feb 14, 2023, 12:00:00 AM;2571455;F4AD4A7D60C734B8E05329858A0AEC3B;8176438217;1;;LAVORI DI MANUTENZIONE STRAORDINARIA EDIFICI SCOLASTICI DELLA CITTA'. BILANCIO 2019. LOTTO 3. AREA EST (CUP C15B18000860004 - CIG 8176438217). OPERE SUPPLEMENTARI EX ART. 106 C. 1 LETT. B) D.LGS 50/2016 E S.M.I. APPROVAZIONE CERTIFICATO DI REGOLARE ESECUZIONE. SVINCOLO  DEPOSITO CAUZIONALE.
2023;DD 725/2023;Feb 14, 2023, 12:00:00 AM;2571464;F4AD4A7D60C534B8E05329858A0AEC3B;9094023130;1;53800.0;S031 -  ''PON METRO REACT-EU TORINO PROGETTO TO 6.1.3.L - MANUTENZIONE STRAORDINARIA FINALIZZATA ALLA RIDUZIONE DEI CONSUMI ENERGETICI EDIFICIO SCOLASTICO VIA VALLAURI 24'' (CIG 9094023130). AUTORIZZAZIONE AL SUBAPPALTO DELLE OPERE DA FABBRO (CAT. OS6) ALLA DITTA ROLL S.R.L. EX ART. 105, COMMA 13 D.LGS. 50/2016 E S.M.I. - IMPORTO DI EURO 53.800,00.
2023;DD 722/2023;Feb 14, 2023, 12:00:00 AM;2566338;F4AD4A7D60C234B8E05329858A0AEC3B;ZF339CE148;1;40260.0;FORNITURA DI STAMPATI VARI PER PROMOZIONE E COMUNICAZIONE EVENTI E INIZIATIVE DELLA CITTA' DI TORINO - ANNO 2023. INDIZIONE E PRENOTAZIONE DELLA SPESA EURO 40.260,00 IVA INCLUSA. CIG ZF339CE148
2023;DD 720/2023;Feb 14, 2023, 12:00:00 AM;2568972;F4ACDF33B19822D5E05329858A0A55AD;8474783C29;1;183382.75;SERV. /034. ''SISTEMAZIONE PASSANTE FERROVIARIO - TRATTO TRA VIA BREGLIO E CORSO GROSSETO. LOTTO 1''. APPROVAZIONE SPESA PER COMPENSAZIONE PREZZI (ART 26 COMMA 2 D.L. 50/2022, CONVERTITO DALLA LEGGE N. 91/2022). IMPEGNO DI EURO 183.382,75 (IVA COMPRESA). APPROVAZIONE NUOVO Q.E. E CRONOPROGRAMMA. FINANZIAMENTO CON CONTRIBUTO MINISTERIALE AMBITO RIBASSO DI GARA (COD. OPERA 4551 - COD. CUP C11B16000550001 - CIG 8474783C29).
2023;DD 714/2023;Feb 14, 2023, 12:00:00 AM;2571033;F4AB2FF74D56597FE05329858A0A2F89;9190260A76;1;10500.0;"S. 117 - P.N.N. 67/2022 - PNRR MISSIONE 2 - COMPONENTE 4 - INVESTIMENTO 2.2 - NEXT GENERATION EU. - INTERVENTI DI RIASSETTO IDROGEOLOGICO PARCHI COLLINARI CIRC. 7 E 8 (C.O. 4303 - CUP. C12E19000020004 - CIG. 9190260A76) ESECUTORE RTI: COGEIS S.P.A.(CAPOGRUPPO MANDATARIA)/VALLI UNITE DEL CANAVESE.(MANDANTE) - SUBAFFIDAMENTO EX ART.105 C. 2 DEL D.LGS. 50/2016 E S.M.I. PER LAVORI DI RIMOZIONE E POSA PASSERELLA  ALL'IMPRESA ""CALABRESE AUTOGRU SRL"". - IMPORTO EURO 10.500,00 DI CUI EURO 500,00 PER ONERI CONTRATTUALI SICUREZZA - PRESA D'ATTO. "
2023;DD 713/2023;Feb 14, 2023, 12:00:00 AM;2571332;F4AAC4ACA8C14792E05329858A0A384C;9251801BB3;1;29434.53;"S. 117-P.N. 87/2022 - PON METRO REACT EU TO6.1.4.C QUARTIERI RESILIENTI (C.O.4942 - CUP.C11B21005220006-CPV.45233220-7) - LOTTO 1 SAN DONATO (CIG.9251801BB3) ESECUTORE SAISEF SPA - SUB AFFIDAMENTO EX ART. 105 C.2 D.LGS.50/2016 E S.M.I PER STESA DI ASFALTO COLATO (CAT.OG3) ALL'IMPRESA "" ASFALTO SAFA DI ESSAYFY BRAHIM"" - IMPORTO EURO 29.434,53 DI CUI EURO 1.200,00 ONERI CONTRATTUALI SICUREZZA. - PRESA D'ATTO. "
2023;DD 712/2023;Feb 14, 2023, 12:00:00 AM;2568603;F4AAC4ACA8C04792E05329858A0A384C;855089234E;1;13813.68;"S. 117 - INTERVENTI STRAORDINARI VERDE PUBBLICO (C.O. 4463 - CUP. C12E18000200004 - CIG. 855089234E) - P.N. N . 75/2020 - GARA MEPA RDO N. 2712781. COMPENSAZIONE PREZZI AI SENSI DELL'ART. 26 DEL D.L. N. 50/2022 C.D. ""DECRETO AIUTI"" - ETS ECOTECNOLOGIE STRADALI SRL-SPESA COMPLESSIVA EURO 13.813,68-FINANZ. MUTUO ORIG. CASSA DD.PP. N. 2339/2019 GIA' PERFEZIONATO. "
2023;DD 710/2023;Feb 14, 2023, 12:00:00 AM;2571350;F4AAC4ACA8BF4792E05329858A0A384C;9251801BB3;1;29434.53;"S. 117-P.N. 87/2022 - PON METRO REACT EU TO6.1.4.C QUARTIERI RESILIENTI (C.O.4942 - CUP.C11B21005220006-CPV.45233220-7) - LOTTO 1 SAN DONATO (CIG.9251801BB3) ESECUTORE SAISEF SPA - SUB AFFIDAMENTO EX ART. 105,C. 2 D.LGS.50/2016 E S.M.I PER ESECUZIONE LAVORI AREE VERDI (CAT.OS24) ALL'IMPRESA ""AGER DI FABRIZIO CAVALLO & C. S.N.C."" - IMPORTO EURO 29.434,53 DI CUI EURO 1.200,00 ONERI CONTRATTUALI SICUREZZA. - PRESA D'ATTO. "
2023;DD 703/2023;Feb 14, 2023, 12:00:00 AM;2571141;F4A97F35087D1154E05329858A0AD111;9340816D33;1;19488.0;(S-062) - MANUTENZIONE STRAORDINARIA IMPIANTO SPORTIVO POLIVALENTE ''TAZZOLI HOCKEY'' - ANNO 2022 - CODICE OPERA 4948-CUP: C17H21007660006 - CIG: 9340816D33. - RETTIFICA DELLA DETERMINA ATTO N. DD 655/2023, DI AUTORIZZAZIONE AL SUBAPPALTO DELLE OPERE DI CUI ALLA CATEGORIA OG1 ALLA DITTA COGESA SPORT S.R.L. EX ART. 105, COMMA 13 D.LGS. 50/2016 E S.M.I. ED INDIVIDUAZIONE DEL SOGGETTO DELEGATO ALL'INCASSO - IMPORTO DI EURO 19.488,00.
