idUd;dd_numero;data_atto;cig;n_cig;importo_oggetto_max;oggetto;idPubblicazione;idDocPrimario;nroAllegati
2664189;DD 859/2025;Feb 12, 2025, 12:00:00 AM;;0;;SERVIZIO DISABILITA' E ANZIANI - PROCEDURA APERTA N. 32/2024 - SERVIZIO DI GESTIONE DELLA STRUTTURA R.A.A. MARIA BRICCA DI TORINO - APPROVAZIONE PROPOSTA DI AGGIUDICAZIONE E AGGIUDICAZIONE;2664189;3522914;
2663578;DD 853/2025;Feb 12, 2025, 12:00:00 AM;;0;;C.2 - ORTI URBANI REGOLAMENTATI - PARCO SANGONE STRADA CASTELLO DI MIRAFIORI - LOTTO 2. RINUNCE, ORTI DI PROSSIMITA' E SOCIALE.;2663578;3522108;
2663085;DD 945/2025;Feb 15, 2025, 12:00:00 AM;;0;1213.28;RADIAZIONE DELL'IMPORTO DI EURO 1.213,28= RELATIVO ALL'ACCERTAMENTO N. 6650/2024.;2663085;3521474;
2663081;DD 944/2025;Feb 15, 2025, 12:00:00 AM;;0;30500.0;119 - GTT SPA - RIMBORSO SPESE UTENZE PARCHEGGI ANNO 2025 - IMPEGNO DI EURO 30.500,00 (IVA INCLUSA)  A FAVORE DI GTT S.P.A..;2663081;3521469;
2663086;DD 943/2025;Feb 15, 2025, 12:00:00 AM;;0;45041.44;119 - ULTERIORE ACCERTAMENTO CANONE PARCHEGGI GTT 2024 PER € 45.041,44 BILANCIO 2024. (EX ART. 179 D. LGS. 267/2000 TUEL) DEBITORE GTT SPA.;2663086;3521476;
2663075;DD 942/2025;Feb 15, 2025, 12:00:00 AM;;0;3332.89;119 - ULTERIORE ACCERTAMENTO DEL CANONE DEL ''PARCHEGGIO EMANUELE FILIBERTO'' RELATIVO ALL'ANNO 2024 PER EURO 3.332,89. DEBITORE PARKINGE S.R.L.  ;2663075;3521462;
2663040;DD 941/2025;Feb 14, 2025, 12:00:00 AM;;0;1963.28;C.2 - ACCERTAMENTO DELL'ENTRATA ANNO 2025 DI EURO 1.963,28 = PER LA CONCESSIONE DEI LOCALI SITI IN VIA DE CANAL 33/BIS ALL'ASSOCIAZIONE CNGEI SEZIONE SCOUT TORINO APS. (EX ART. 179 D.LGS 267/2000 TUEL);2663040;3521412;
2663017;DD 937/2025;Feb 14, 2025, 12:00:00 AM;;0;;"AUTORIZZAZIONE DEL RICOVERO DEL MINORE omissis PRESSO LA COMUNITA' RIABILITATIVA PSICOSOCIALE ""omissis"", GESTITA DA SANA SOCIETA' COOPERATIVA SOCIALE.";2663017;3521380;
2663034;DD 936/2025;Feb 14, 2025, 12:00:00 AM;;0;;AUTORIZZAZIONE RINNOVO INSERIMENTO DEL NUCLEO omissis PRESSO LA STRUTTURA ''omissis'' SITA A omissis E GESTITA DA FONDAZIONE GRUPPO ABELE;2663034;3521405;
2663072;DD 938/2025;Feb 14, 2025, 12:00:00 AM;;0;;VARIAZIONE IN MENO ACCERTAMENTO DELL'ENTRATA AL CAPITOLO 9900061001 DEL BILANCIO 2024 PER IL CUP J16F24000120006 E VARIAZIONE IN AUMENTO ACCERTAMENTO DELL'ENTRATA AL CAPITOLO 9900061001, DEL BILANCIO 2025 - CUP J16F24000200006. (EX ART. 179 D. LGS. 267/2000 TUEL). INTERVENTO PROMOZIONE DELLA GENITORIALITA' POSITIVA. NEI CONFRONTI DI DI REGIONE PIEMONTE  ;2663072;3521457;
2663016;DD 939/2025;Feb 14, 2025, 12:00:00 AM;;0;81531.57;VARIAZIONE IN MENO ACCERTAMENTO DELL'ENTRATA DI EURO 81.531,57 AL CAPITOLO 4850001001 DEL BILANCIO 2024, SERVIZIO MINORI E FAMIGLIE - MINORI STRANIERI NON ACCOMPAGNATI - FONDO MSNA  PER MINORE RENDICONTAZIONE. (EX ART. 179 D. LGS. 267/2000 TUEL). NEI CONFRONTI DI PREFETTURA DI TORINO - UFFICIO TERRITORIALE DEL GOVERNO.;2663016;3521378;
2663002;DD 940/2025;Feb 14, 2025, 12:00:00 AM;;0;2791.73;VARIAZIONE IN MENO ACCERTAMENTO DELL'ENTRATA AL CAPITOLO  4850000001 DEL BILANCIO 2024 DI EURO  2.791,73(EX ART. 179 D. LGS. 267/2000 TUEL). NEI CONFRONTI DI MINISTERO DELL'INTERNO.  ;2663002;3521360;
2663059;DD 935/2025;Feb 14, 2025, 12:00:00 AM;;0;326416.06;ACCERTAMENTO DELL'ENTRATA (EX ART.179 D.LGS 267/2000 TUEL) RISCOSSIONE A MEZZO RUOLO DI SOMME DOVUTE PER SANZIONI AMMINISTRATIVE PECUNIARIE. ACCERTAMENTO DI EURO 326.416,06=. ;2663059;3521435;
2663068;DD 934/2025;Feb 14, 2025, 12:00:00 AM;B5A2AB664B;1;10400.0;"AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 50, CO. 1, LETT. B), D.LGS. 36/2023 DEL SERVIZIO DI TRASCRIZIONE DI TESTI SCOLASTICI IN LARGE PRINT PER ALUNNI CON DISABILITA' VISIVE ALLA ""SOPHIGRAPHIC"" DI CALLEGARI GIORGIO PER IL PERIODO FEBBRAIO - GIUGNO 2025. INDIZIONE E AFFIDAMENTO. IMPEGNO SPESA DI € 10.400,00 IVA 4% COMPRESA. CIG B5A2AB664B. ";2663068;3521449;
2663009;DD 933/2025;Feb 14, 2025, 12:00:00 AM;;0;90000.0;C. 4 - PRENOTAZIONE IMPEGNO DI SPESA. RIMBORSO UTENZE IMPIANTI SPORTIVI ANNO 2025. EURO 90.000,00. ;2663009;3521369;
2663051;DD 932/2025;Feb 14, 2025, 12:00:00 AM;;0;1000.0;RIMBORSO SPESE DI NOTIFICA PER L'ANNO 2025. PRENOTAZIONE IMPEGNO DI SPESA DI EURO 1.000,00=;2663051;3521426;
2663071;DD 931/2025;Feb 14, 2025, 12:00:00 AM;;0;478000.0;RESIDUI ATTIVI (EX ART. 189 D. LGS. 267/2000 TUEL). RADIAZIONE ACCERTAMENTO DI ENTRATA AL CAPITOLO 13700000001 DEL BILANCIO 2020  PER L'IMPORTO COMPLESSIVO DI EURO  478.000,00.=   ;2663071;3521455;
2663061;DD 930/2025;Feb 14, 2025, 12:00:00 AM;;0;3643438.47;DETERMINA DIRIGENZIALE N.6904/2022 DEL 19/12/2022 - RADIAZIONE ACCERTAMENTO DI ENTRATA SUL BILANCIO 2024 PER OPERE DI URBANIZZAZIONE A SCOMPUTO PER UN TOTALE DI EURO 3.643.438,47.;2663061;3521438;
2663023;DD 929/2025;Feb 14, 2025, 12:00:00 AM;;0;;ZAFFIRO NORD SRL: INSERIMENTO NELL'ELENCO PRESIDI DI CUI ALLA D.D. 7566/2024 DEL 28/11/2024 DELLA STRUTTURA RAF DISABILI DI TIPO B ''RESIDENZA SERENA 2''.;2663023;3521387;
2663015;DD 928/2025;Feb 14, 2025, 12:00:00 AM;;0;;C.7 - VOLTURA PASSO CARRAIO - CORSO PALERMO 26 - SOCIETA'  DREAM TEAM S.R.L. PER CONTO DI SANDRA RANIERI. DINIEGO.;2663015;3521377;
2665198;DD 927/2025;Feb 14, 2025, 12:00:00 AM;;0;;C7-INTEGRAZIONI ALLA DETERMINAZIONE DIRIGENZIALE N. 315 DEL 21/01/2025 DI APPROVAZIONE DEL DISCIPLINARE PER LA CONCESSIONE PER ANNI 6 DEL LOCALE DI PRORPIETA' COMUNALE SITO IN STRADA DEL FORTINO 20B ALL' ASSOCIAZIONE SPORTIVA DILETTANTISTICA U.C.A.T. (UNIONE CICLO APLPINA TORINO);2665198;3524225;
