dd_numero;capitolo;anno_imp;importo;missione;missione_nome;programma;macro;denominazione;match
DD 1039/2025;118630008005;2025;51.626,00;01;Servizi istituzionali, generali e di gestione;8;2;SISTEMI INFORMATIVI - PN METRO PLUS - GESTIONE DELLA RELAZIONE CITTADINO - IMPRESE - TO1.1.2.1.E - VEDASI CAP.032500002001 ENTRATA - SETT.27;exact
DD 1085/2025;118630008004;2025;189.027,38;01;Servizi istituzionali, generali e di gestione;8;2;SISTEMI INFORMATIVI - PN METRO PLUS - CONDIVISIONE TRASPARENZA E GOVERNO DATI -TO1.1.2.1.D - VEDASI CAP.032500002001 ENTRATA - SETT.27;exact
DD 1132/2025;060500010001;2025;12.200,00;07;Turismo;1;3;TURISMO - ACQUISTO DI BENI E SERVIZI - PROGETTO UNESCO RESIDENZE DELLA FAMIGLIA REALE DI SAVOIA - VEDASI CAP. 6500002 ENTRATA - SETT. 69;exact
DD 1135/2025;060500008002;2025;12.200,00;07;Turismo;1;3;TURISMO - ACQUISTO DI BENI E SERVIZI - EVENTI DI PROMOZIONE TORINO - Settore 69;exact
DD 1234/2025;012600029001;2025;609,76;01;Servizi istituzionali, generali e di gestione;4;3;TRIBUTI E CATASTO - ACQUISTO DI SERVIZI - ACCESSO A BANCHE DATI E PUBBLICAZIONI ONLINE - settore 013;exact
DD 1234/2025;012600029001;2026;609,76;01;Servizi istituzionali, generali e di gestione;4;3;TRIBUTI E CATASTO - ACQUISTO DI SERVIZI - ACCESSO A BANCHE DATI E PUBBLICAZIONI ONLINE - settore 013;exact
DD 1234/2025;012600029001;2027;609,76;01;Servizi istituzionali, generali e di gestione;4;3;TRIBUTI E CATASTO - ACQUISTO DI SERVIZI - ACCESSO A BANCHE DATI E PUBBLICAZIONI ONLINE - settore 013;exact
DD 1234/2025;012600029001;2028;609,76;01;Servizi istituzionali, generali e di gestione;4;3;TRIBUTI E CATASTO - ACQUISTO DI SERVIZI - ACCESSO A BANCHE DATI E PUBBLICAZIONI ONLINE - settore 013;exact
DD 1234/2025;012600029001;2029;609,76;01;Servizi istituzionali, generali e di gestione;4;3;TRIBUTI E CATASTO - ACQUISTO DI SERVIZI - ACCESSO A BANCHE DATI E PUBBLICAZIONI ONLINE - settore 013;exact
DD 1250/2025;140380004001;2025;27.708,49;10;Trasporti e diritto alla mobilità;5;2;PONTI - VIE D'ACQUA - INFRASTRUTTURE - PNRR - C16E19000190001- PIANO COMPLEMENTARE - PROGETTO PARCO DEL VALENTINO - RIPRISTINO NAVIGABILITA' FIUME PO - VEDASI CAP. 32390002 ENTRATA - Sett. 34;exact
